,explained_variance
PC1,35.91945744347535
PC2,2.772915952070685
PC3,0.9980511694612244
PC4,0.732201495739239
PC5,0.41027882563170165
PC6,0.32912757026333544
PC7,0.18472930534617318
PC8,0.13854206762765817
PC9,0.097701168041887
PC10,0.07010002641037741
PC11,0.052444324968229136
PC12,0.050390493222047916
PC13,0.035081499482544624
PC14,0.02887938767524486
PC15,0.024612495986354014
PC16,0.020733460734789204
PC17,0.01706233782114409
PC18,0.015369789029562767
PC19,0.013671370848582914
PC20,0.0125909819605563
PC21,0.009782653304605773
PC22,0.009545311306459107
PC23,0.00905407719859826
PC24,0.0072417466620228865
PC25,0.006186148790528385
PC26,0.005762304665143485
PC27,0.0050361926068233235
PC28,0.003823123163842667
PC29,0.003632317043554933
PC30,0.0025997797399090906
PC31,0.002030576493657529
PC32,0.0017457080806482673
PC33,0.0015528105579226926
PC34,0.0013796708349247669
PC35,0.0012100096441128316
PC36,0.0011730679950599226
PC37,0.0010443004234947527
PC38,0.0008618716746517724
PC39,0.0008173076183846091
PC40,0.0006606229574078109
PC41,0.0005417376623812288
PC42,0.000377495779240083
