,cumulative_explained_variance_ratio
PC1,0.8370676517427129
PC2,0.9207677090742137
PC3,0.9586093930795123
PC4,0.9744762841765066
PC5,0.981963492848092
PC6,0.9865478661730736
PC7,0.9898502454835907
PC8,0.9924859464538669
PC9,0.9942390368415751
PC10,0.9955153194934461
PC11,0.9964251440153311
PC12,0.9972654386090924
PC13,0.9979932751779136
PC14,0.9985922074081859
PC15,0.9990172842568519
PC16,0.9993409031727729
PC17,0.9995419192065552
PC18,0.9997361130154395
PC19,0.9998603377582529
PC20,0.9999604200841697
PC21,1.0
