PC,mean,std,skew,kurtosis,min,p01,p05,p25,median,p75,p95,p99,max,n,normaltest_stat,normaltest_p
PC1,1.7603536246308789e-16,5.993284361973437,0.6747351936112082,-0.5401334536424187,-8.543396924893008,-7.611673830928414,-6.658330714946062,-5.433947372011527,-1.2642406835010904,4.550323001306391,10.904002064146132,15.109166297033301,18.17016149826264,888,77.40134656212003,1.557798022117206e-17
PC2,-3.200642953874325e-17,1.6652074801869847,1.3566102885640192,4.310896457266105,-3.5988169588518835,-2.9067424948606777,-2.3512106669237625,-0.9945088244716531,-0.1221697081308144,0.6359766049246407,3.0741841198648956,5.2375115668228105,10.494898071996976,888,258.5238841191339,7.282019598367207e-57
PC3,-4.0008036923429064e-18,0.9990251095248939,0.35173080104947413,3.329025634583971,-4.596002180477735,-2.6093939268874844,-1.5166274680129064,-0.4866550396975925,-0.00829366163592635,0.4421018177888908,1.706101997433055,3.138468886949116,4.879841488311249,888,91.6480313798037,1.2556911899973717e-20
PC4,3.200642953874325e-17,0.8556877326099984,-0.29920652305238055,4.298117036023607,-3.740316145501607,-2.9986918854667763,-1.5471560376281948,-0.3048888279589934,0.09941508334488675,0.3709329386573878,1.225559265109604,2.4248526124638694,4.708639509524488,888,105.54790720449296,1.2038244572331284e-23
PC5,-2.400482215405744e-17,0.6405301129780718,0.362679071776239,3.1017503647722293,-3.340301022462941,-1.4356932927335844,-0.994957755317362,-0.34257758318267373,-0.03580089515317495,0.30093057481881874,1.109433460421305,1.676604391255993,3.3619520914303584,888,87.95460584326221,7.959760713209085e-20
PC6,-4.000803692342906e-17,0.5736964094914097,0.2687017558690951,3.6713456541132405,-2.5543863982827744,-1.6565390129482038,-0.8758253590963724,-0.2752702348080526,-0.026086491413705,0.2690827058280345,0.8700950452969587,1.825414839142014,2.817616599998291,888,91.4324846276295,1.398582950860174e-20
PC7,-1.700341569245735e-17,0.42980147201489793,0.41067001004507303,6.075505900474035,-1.8494151176085856,-1.2887610811115642,-0.7036153558048714,-0.19621940240001284,0.02475251477815045,0.2029661900308234,0.620110504746009,1.163502447358613,3.1338462640013933,888,144.40022965256088,4.4044180945091184e-32
PC8,-2.3504721692514576e-17,0.3722123958543804,0.09496334296430337,1.9526003013970383,-1.3878289681573002,-1.0111044000929459,-0.6016621453454967,-0.19641499969966475,-0.00181990373429245,0.1960664008533033,0.5928085234184878,0.958195930940798,1.8663955080125647,888,44.28093943916002,2.4239082343168224e-10
PC9,-4.7759594077343445e-17,0.3125718606047045,0.5847666219526292,7.4405991127292435,-1.607786468346844,-0.7934999976278713,-0.46098309498905704,-0.16853683437257383,0.00234457946174995,0.1532710559952699,0.4335835256052437,0.8126175348900605,2.0694011166821427,888,183.34048260725677,1.5421266666123207e-40
