H,PC1,PC2,PC3
0.066,-1.8033595672804363,0.14091386878707163,-0.15713353155155865
0.1,-1.771264831933331,0.15315519601875852,-0.15375434276011252
0.2,-1.777033380591885,0.15126778973248664,-0.13894253450295596
0.3,-1.7801069728620735,0.15423114045714947,-0.11654896334392921
0.4,-1.7743352507016896,0.15326923603787898,-0.07761450526807837
0.5,-1.7601256664362732,0.14490548359530303,-0.032566255346495925
0.6,-1.756841663765492,0.13100806811901017,0.027231282357526032
0.7000000000000001,-1.7536710514420613,0.11271071032418785,0.08154675143273579
0.8,-1.7514911714584298,0.08684066231722964,0.1214642559714016
0.9,-1.7530173767424457,0.058617103891935265,0.14313948820236672
1.0,-1.7493371478666457,0.032414963889814984,0.15579330944479589
1.1,-1.7272464831453862,-0.00483918890027933,0.16487703920999552
1.2000000000000002,-1.6927930847529007,-0.0513918111101298,0.151292714119537
1.3000000000000005,-1.6468319850415445,-0.09688052072856305,0.12355903421658389
1.4,-1.59822702898471,-0.13850886424402914,0.08160246562959055
1.5000000000000002,-1.5549570505849872,-0.1789882030480866,0.04048828955182193
1.6,-1.5146376350050046,-0.2092448611512301,-0.008553024377963644
1.7000000000000002,-1.475077739538846,-0.2204863904067359,-0.058617921025263614
1.8000000000000005,-1.4402342789579945,-0.22767167626894808,-0.10279099328755788
1.9,-1.4046794325547993,-0.22510894230764453,-0.1403829027220052
2.0,-1.3656983120032054,-0.21547711911930092,-0.157447247658255
