H,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
0.066,287.3045942495402,289.5574436281871,289.3889388837177,289.2912505891898,289.0580034215868,289.05163636234863,289.1839243699088,289.21559802479953
0.1,286.2620783485303,288.51129199156514,288.34746361080175,288.2514366399074,288.01617633223094,288.00806846019645,288.1523950493663,288.1725078894519
0.2,286.00593627043673,288.24499193771686,288.0876208646716,287.99330612709815,287.761926776253,287.75832637490726,287.88987320612205,287.8990018060378
0.3,285.7955278828329,288.05119987941924,287.8928559564332,287.7916277052488,287.56798697510385,287.5731806338318,287.68357581257226,287.67991975588313
0.4,285.4662776370384,287.7699513730997,287.6068327891386,287.48368584486263,287.29091975015666,287.3380617485171,287.3520163688224,287.3017096775548
0.5,285.2316464281213,287.57124935515975,287.39601994949743,287.2381041194847,287.1451656631168,287.1963328082155,287.11279652477305,287.05502249222064
0.6,285.77175704790204,288.14111769297756,287.95483166080203,287.76552734667484,287.77977980872583,287.85497137999374,287.638365287579,287.57767526042363
0.7000000000000001,285.5839221015547,287.9114322669679,287.70515164185105,287.5206753684276,287.6141162647258,287.6375302302958,287.4563442116883,287.46191453074454
0.8,285.2037996349817,287.51668061922066,287.2821868925328,287.08877425639884,287.29263132947176,287.28246632347765,287.1110696940557,287.1868181145316
0.9,284.61068661792297,286.91971097032183,286.6232103960791,286.4319834262575,286.7506853407057,286.65153172974595,286.5572457200692,286.689770067495
1.0,285.3465665088935,287.6609342717029,287.32237757476094,287.1432205838316,287.5156363735547,287.3557392988215,287.37320461944176,287.469825290958
1.1,284.21235899845215,286.60391488122553,286.1763815429369,286.00092009354796,286.41639291155707,286.21315468819324,286.38887896969203,286.31265311437284
1.2000000000000002,283.31570465305543,285.8443331381945,285.3026315660507,285.232477929233,285.55062310507043,285.42746246157986,285.64116257365737,285.46474022288743
1.3000000000000005,282.07429643312145,284.69039279034433,284.0351369490283,284.22446223502624,284.26660403425274,284.3657201190411,284.39628724939683,284.3450280543334
1.4,278.9601111810376,281.61974585733924,281.0101963354144,281.49296002932044,281.2876665353651,281.6081913553357,281.39694295433696,281.58306119481915
1.5000000000000002,277.4349512181968,280.08183457456204,279.6529092196154,280.3307497255884,280.08620930346547,280.3090112881012,280.1611993382848,280.2619491632398
1.6,275.9553028799199,278.48838727551595,278.3465739025619,279.08456874335525,278.86671890100007,278.8409138605136,278.9250191208649,278.7362765095953
1.7000000000000002,275.8744617591603,278.21799006826893,278.51255079361357,278.988767703307,278.94057696679033,278.67039890082685,278.80053782686826,278.6678451751016
1.8000000000000005,276.3497224323194,278.45590607615003,279.3167482649742,279.31360267152434,279.37139213728517,279.0513361783652,279.06529537712413,279.2790968581666
1.9,276.26123144798373,278.21065862244683,279.4981562512603,279.02203907806955,279.09471613537204,279.12572706220413,279.0712997552892,279.16295390435516
2.0,275.0959162783826,276.9648087890554,278.40471255812093,277.7000630173369,277.75593529211545,278.07625254397686,278.0638907647991,277.9082931325751
